Friend,Start date,End date,Start time,End time,Duration
477,5/13/18,5/14/18,0:00,0:00,24:00:00
478,5/13/18,5/14/18,0:00,0:00,24:00:00
479,5/13/18,5/14/18,0:00,0:00,24:00:00
480,5/14/18,5/15/18,0:00,0:00,24:00:00
481,5/16/18,5/17/18,0:00,0:00,24:00:00
482,5/18/18,5/19/18,0:00,0:00,24:00:00
483,5/19/18,5/20/18,0:00,0:00,24:00:00
484,5/19/18,5/20/18,0:00,0:00,24:00:00
485,5/19/18,5/20/18,0:00,0:00,24:00:00
486,5/20/18,5/21/18,0:00,0:00,24:00:00
487,5/21/18,5/22/18,0:00,0:00,24:00:00
488,5/22/18,5/23/18,0:00,0:00,24:00:00
489,5/25/18,5/26/18,0:00,0:00,24:00:00
490,5/26/18,5/27/18,0:00,0:00,24:00:00
491,5/26/18,5/27/18,0:00,0:00,24:00:00
492,5/26/18,5/27/18,0:00,0:00,24:00:00
493,5/27/18,5/28/18,0:00,0:00,24:00:00
494,5/27/18,5/28/18,0:00,0:00,24:00:00
